fold,factor,train_start,train_end,test_start,test_end,train_mean_ic,test_mean_ic,direction
0,momentum_20d,2024-09-18,2025-03-28,2025-04-08,2025-06-10,0.10377358490566035,-0.14285714285714288,1.0
0,volatility_20d,2024-09-18,2025-03-28,2025-04-08,2025-06-10,0.09245283018867925,0.1,1.0
0,__composite__,2024-09-18,2025-03-28,2025-04-08,2025-06-10,,-0.02778931843560149,1.0
1,momentum_20d,2024-09-18,2025-06-03,2025-06-11,2025-08-07,-0.01081081081081082,0.14285714285714288,-1.0
1,volatility_20d,2024-09-18,2025-06-03,2025-06-11,2025-08-07,0.08513513513513513,0.08095238095238094,1.0
1,__composite__,2024-09-18,2025-06-03,2025-06-11,2025-08-07,,-0.04080059899910765,1.0
2,momentum_20d,2024-09-18,2025-07-31,2025-08-08,2025-10-14,0.04315789473684208,2.2468799307890073e-17,1.0
2,volatility_20d,2024-09-18,2025-07-31,2025-08-08,2025-10-14,0.11052631578947368,0.1476190476190476,1.0
2,__composite__,2024-09-18,2025-07-31,2025-08-08,2025-10-14,,0.0529058556458296,1.0
3,momentum_20d,2024-09-18,2025-09-29,2025-10-15,2025-12-11,0.04137931034482758,0.014285714285714287,1.0
3,volatility_20d,2024-09-18,2025-09-29,2025-10-15,2025-12-11,0.10689655172413792,-0.21428571428571433,1.0
3,__composite__,2024-09-18,2025-09-29,2025-10-15,2025-12-11,,-0.14990982343993167,1.0
4,momentum_20d,2024-09-18,2025-12-04,2025-12-12,2026-02-11,0.02627737226277372,-0.04761904761904763,1.0
4,volatility_20d,2024-09-18,2025-12-04,2025-12-12,2026-02-11,0.06934306569343066,-0.10952380952380951,1.0
4,__composite__,2024-09-18,2025-12-04,2025-12-12,2026-02-11,,-0.13285472151274325,1.0
5,momentum_20d,2024-09-18,2026-02-04,2026-02-12,2026-04-21,0.015822784810126576,0.28095238095238095,1.0
5,volatility_20d,2024-09-18,2026-02-04,2026-02-12,2026-04-21,0.032911392405063286,0.3857142857142857,1.0
5,__composite__,2024-09-18,2026-02-04,2026-02-12,2026-04-21,,0.35538128952905446,1.0
6,momentum_20d,2024-09-18,2026-04-14,2026-04-22,2026-06-24,0.04469273743016759,-0.1,1.0
6,volatility_20d,2024-09-18,2026-04-14,2026-04-22,2026-06-24,0.07486033519553072,0.2095238095238095,1.0
6,__composite__,2024-09-18,2026-04-14,2026-04-22,2026-06-24,,0.042853800224396735,1.0
7,momentum_20d,2024-09-18,2026-06-16,2026-06-25,2026-08-21,0.03799999999999999,-0.2523809523809524,1.0
7,volatility_20d,2024-09-18,2026-06-16,2026-06-25,2026-08-21,0.09099999999999998,0.1714285714285714,1.0
7,__composite__,2024-09-18,2026-06-16,2026-06-25,2026-08-21,,-0.036081197575089395,1.0
